"Step","phase1-reasoning - tech/lr","phase1-reasoning - tech/lr__MIN","phase1-reasoning - tech/lr__MAX"
"0","4.0000000000000003e-7","4.0000000000000003e-7","4.0000000000000003e-7"
"1","8.000000000000001e-7","8.000000000000001e-7","8.000000000000001e-7"
"2","0.0000012000000000000002","0.0000012000000000000002","0.0000012000000000000002"
"3","0.0000016000000000000001","0.0000016000000000000001","0.0000016000000000000001"
"4","0.0000020000000000000003","0.0000020000000000000003","0.0000020000000000000003"
"5","0.0000024000000000000003","0.0000024000000000000003","0.0000024000000000000003"
"6","0.0000028000000000000003","0.0000028000000000000003","0.0000028000000000000003"
"7","0.0000032000000000000003","0.0000032000000000000003","0.0000032000000000000003"
"8","0.0000036000000000000003","0.0000036000000000000003","0.0000036000000000000003"
"9","0.000004000000000000001","0.000004000000000000001","0.000004000000000000001"
"10","0.0000044","0.0000044","0.0000044"
"11","0.000004800000000000001","0.000004800000000000001","0.000004800000000000001"
"12","0.0000052","0.0000052","0.0000052"
"13","0.000005600000000000001","0.000005600000000000001","0.000005600000000000001"
"14","0.000006","0.000006","0.000006"
"15","0.0000064000000000000006","0.0000064000000000000006","0.0000064000000000000006"
"16","0.000006800000000000001","0.000006800000000000001","0.000006800000000000001"
"17","0.0000072000000000000005","0.0000072000000000000005","0.0000072000000000000005"
"18","0.000007600000000000001","0.000007600000000000001","0.000007600000000000001"
"19","0.000008000000000000001","0.000008000000000000001","0.000008000000000000001"
"20","0.000008400000000000001","0.000008400000000000001","0.000008400000000000001"
"21","0.0000088","0.0000088","0.0000088"
"22","0.000009200000000000002","0.000009200000000000002","0.000009200000000000002"
"23","0.000009600000000000001","0.000009600000000000001","0.000009600000000000001"
"24","0.00001","0.00001","0.00001"
"26","0.0000104","0.0000104","0.0000104"
"27","0.000010800000000000002","0.000010800000000000002","0.000010800000000000002"
"28","0.000011200000000000001","0.000011200000000000001","0.000011200000000000001"
"29","0.0000116","0.0000116","0.0000116"
"30","0.000012","0.000012","0.000012"
"31","0.000012400000000000002","0.000012400000000000002","0.000012400000000000002"
"32","0.000012800000000000001","0.000012800000000000001","0.000012800000000000001"
"33","0.000013200000000000002","0.000013200000000000002","0.000013200000000000002"
"34","0.000013600000000000002","0.000013600000000000002","0.000013600000000000002"
"35","0.000014","0.000014","0.000014"
"36","0.000014400000000000001","0.000014400000000000001","0.000014400000000000001"
"37","0.0000148","0.0000148","0.0000148"
"38","0.000015200000000000002","0.000015200000000000002","0.000015200000000000002"
"39","0.000015600000000000003","0.000015600000000000003","0.000015600000000000003"
"40","0.000016000000000000003","0.000016000000000000003","0.000016000000000000003"
"41","0.0000164","0.0000164","0.0000164"
"42","0.000016800000000000002","0.000016800000000000002","0.000016800000000000002"
"43","0.0000172","0.0000172","0.0000172"
"44","0.0000176","0.0000176","0.0000176"
"45","0.000018","0.000018","0.000018"
"46","0.000018400000000000003","0.000018400000000000003","0.000018400000000000003"
"47","0.0000188","0.0000188","0.0000188"
"48","0.000019200000000000003","0.000019200000000000003","0.000019200000000000003"
"49","0.000019600000000000002","0.000019600000000000002","0.000019600000000000002"
"50","0.00002","0.00002","0.00002"
"52","0.00002","0.00002","0.00002"
"53","0.00002","0.00002","0.00002"
"54","0.00002","0.00002","0.00002"
"55","0.00002","0.00002","0.00002"
"56","0.00002","0.00002","0.00002"
"57","0.00002","0.00002","0.00002"
"58","0.00002","0.00002","0.00002"
"59","0.00002","0.00002","0.00002"
"60","0.00002","0.00002","0.00002"
"61","0.00002","0.00002","0.00002"
"62","0.00002","0.00002","0.00002"
"63","0.00002","0.00002","0.00002"
"64","0.00002","0.00002","0.00002"
"65","0.00002","0.00002","0.00002"
"66","0.00002","0.00002","0.00002"
"67","0.00002","0.00002","0.00002"
"68","0.00002","0.00002","0.00002"
"69","0.00002","0.00002","0.00002"
"70","0.00002","0.00002","0.00002"
"71","0.00002","0.00002","0.00002"
"72","0.00002","0.00002","0.00002"
"73","0.00002","0.00002","0.00002"
"74","0.00002","0.00002","0.00002"
"75","0.00002","0.00002","0.00002"
"76","0.00002","0.00002","0.00002"
"78","0.00002","0.00002","0.00002"
"79","0.00002","0.00002","0.00002"
"80","0.00002","0.00002","0.00002"
"81","0.00002","0.00002","0.00002"
"82","0.00002","0.00002","0.00002"
"83","0.00002","0.00002","0.00002"
"84","0.00002","0.00002","0.00002"
"85","0.00002","0.00002","0.00002"
"86","0.00002","0.00002","0.00002"
"87","0.00002","0.00002","0.00002"
"88","0.00002","0.00002","0.00002"
"89","0.00002","0.00002","0.00002"
"90","0.00002","0.00002","0.00002"
"91","0.00002","0.00002","0.00002"
"92","0.00002","0.00002","0.00002"
"93","0.00002","0.00002","0.00002"
"94","0.00002","0.00002","0.00002"
"95","0.00002","0.00002","0.00002"
"96","0.00002","0.00002","0.00002"
"97","0.00002","0.00002","0.00002"
"98","0.00002","0.00002","0.00002"
"99","0.00002","0.00002","0.00002"
"100","0.00002","0.00002","0.00002"
"101","0.00002","0.00002","0.00002"
"102","0.00002","0.00002","0.00002"
"104","0.00002","0.00002","0.00002"
"105","0.00002","0.00002","0.00002"
"106","0.00002","0.00002","0.00002"
"107","0.00002","0.00002","0.00002"
"108","0.00002","0.00002","0.00002"
"109","0.00002","0.00002","0.00002"
"110","0.00002","0.00002","0.00002"
"111","0.00002","0.00002","0.00002"
"112","0.00002","0.00002","0.00002"
"113","0.00002","0.00002","0.00002"
"114","0.00002","0.00002","0.00002"
"115","0.00002","0.00002","0.00002"
"116","0.00002","0.00002","0.00002"
"117","0.00002","0.00002","0.00002"
"118","0.00002","0.00002","0.00002"
"119","0.00002","0.00002","0.00002"
"120","0.00002","0.00002","0.00002"
"121","0.00002","0.00002","0.00002"
"122","0.00002","0.00002","0.00002"
"123","0.00002","0.00002","0.00002"
"124","0.00002","0.00002","0.00002"
"125","0.00002","0.00002","0.00002"
"126","0.00002","0.00002","0.00002"
"127","0.00002","0.00002","0.00002"
"128","0.00002","0.00002","0.00002"
"130","0.00002","0.00002","0.00002"
"131","0.00002","0.00002","0.00002"
"132","0.00002","0.00002","0.00002"
"133","0.00002","0.00002","0.00002"
"134","0.00002","0.00002","0.00002"
"135","0.00002","0.00002","0.00002"
"136","0.00002","0.00002","0.00002"
"137","0.00002","0.00002","0.00002"
"138","0.00002","0.00002","0.00002"
