"Step","phase1-reasoning - loss","phase1-reasoning - loss__MIN","phase1-reasoning - loss__MAX"
"0","28.65993046760559","28.65993046760559","28.65993046760559"
"1","19.3504735827446","19.3504735827446","19.3504735827446"
"2","16.48160645365715","16.48160645365715","16.48160645365715"
"3","19.037063270807266","19.037063270807266","19.037063270807266"
"4","23.51965093612671","23.51965093612671","23.51965093612671"
"5","22.970747858285904","22.970747858285904","22.970747858285904"
"6","23.857259511947632","23.857259511947632","23.857259511947632"
"7","16.442838490009308","16.442838490009308","16.442838490009308"
"8","24.653497368097305","24.653497368097305","24.653497368097305"
"9","20.69465047121048","20.69465047121048","20.69465047121048"
"10","21.29823437333107","21.29823437333107","21.29823437333107"
"11","20.978202611207962","20.978202611207962","20.978202611207962"
"12","22.800507217645645","22.800507217645645","22.800507217645645"
"13","25.20538020133972","25.20538020133972","25.20538020133972"
"14","20.713738828897476","20.713738828897476","20.713738828897476"
"15","16.94142323732376","16.94142323732376","16.94142323732376"
"16","13.325577855110168","13.325577855110168","13.325577855110168"
"17","24.54516091942787","24.54516091942787","24.54516091942787"
"18","9.03722956776619","9.03722956776619","9.03722956776619"
"19","21.979403644800186","21.979403644800186","21.979403644800186"
"20","24.606576681137085","24.606576681137085","24.606576681137085"
"21","18.92629200220108","18.92629200220108","18.92629200220108"
"22","17.29978495836258","17.29978495836258","17.29978495836258"
"23","22.36443939805031","22.36443939805031","22.36443939805031"
"24","19.65678372979164","19.65678372979164","19.65678372979164"
"25","19.52364856004715","19.52364856004715","19.52364856004715"
"26","27.478938341140747","27.478938341140747","27.478938341140747"
"27","20.06129240989685","20.06129240989685","20.06129240989685"
"28","17.278221547603607","17.278221547603607","17.278221547603607"
"29","19.416817486286163","19.416817486286163","19.416817486286163"
"30","21.242550432682037","21.242550432682037","21.242550432682037"
"31","25.463459253311157","25.463459253311157","25.463459253311157"
"32","20.32306280732155","20.32306280732155","20.32306280732155"
"33","22.90286150574684","22.90286150574684","22.90286150574684"
"34","20.610093981027603","20.610093981027603","20.610093981027603"
"35","15.411925852298737","15.411925852298737","15.411925852298737"
"36","17.704886734485626","17.704886734485626","17.704886734485626"
"37","24.149981021881104","24.149981021881104","24.149981021881104"
"38","16.026200830936432","16.026200830936432","16.026200830936432"
"39","22.441541343927383","22.441541343927383","22.441541343927383"
"40","18.68813744187355","18.68813744187355","18.68813744187355"
"41","16.509800404310226","16.509800404310226","16.509800404310226"
"42","19.11110907793045","19.11110907793045","19.11110907793045"
"43","21.77673688530922","21.77673688530922","21.77673688530922"
"44","22.08365860581398","22.08365860581398","22.08365860581398"
"45","20.71800485253334","20.71800485253334","20.71800485253334"
"46","21.351398229599","21.351398229599","21.351398229599"
"47","20.467261761426926","20.467261761426926","20.467261761426926"
"48","13.08659765124321","13.08659765124321","13.08659765124321"
"49","22.866390138864517","22.866390138864517","22.866390138864517"
"50","18.673229038715363","18.673229038715363","18.673229038715363"
"51","20.594450742006302","20.594450742006302","20.594450742006302"
"52","19.615870118141174","19.615870118141174","19.615870118141174"
"53","20.520734697580338","20.520734697580338","20.520734697580338"
"54","23.919796526432037","23.919796526432037","23.919796526432037"
"55","17.045550644397736","17.045550644397736","17.045550644397736"
"56","16.916838943958282","16.916838943958282","16.916838943958282"
"57","15.212581604719162","15.212581604719162","15.212581604719162"
"58","21.32908859848976","21.32908859848976","21.32908859848976"
"59","20.294245153665543","20.294245153665543","20.294245153665543"
"60","15.837192595005035","15.837192595005035","15.837192595005035"
"61","19.024402290582657","19.024402290582657","19.024402290582657"
"62","19.694759756326675","19.694759756326675","19.694759756326675"
"63","20.39547434449196","20.39547434449196","20.39547434449196"
"64","19.8814734518528","19.8814734518528","19.8814734518528"
"65","17.440572321414948","17.440572321414948","17.440572321414948"
"66","17.475593388080597","17.475593388080597","17.475593388080597"
"67","21.425748109817505","21.425748109817505","21.425748109817505"
"68","18.520916134119034","18.520916134119034","18.520916134119034"
"69","15.1715666949749","15.1715666949749","15.1715666949749"
"70","18.077138453722","18.077138453722","18.077138453722"
"71","9.76605561375618","9.76605561375618","9.76605561375618"
"72","19.22098007798195","19.22098007798195","19.22098007798195"
"73","20.55176916718483","20.55176916718483","20.55176916718483"
