"Step","phase1-reasoning - tech/beta","phase1-reasoning - tech/beta__MIN","phase1-reasoning - tech/beta__MAX"
"96","0.0001","0.0001","0.0001"
"97","0.0001","0.0001","0.0001"
"98","0.0001","0.0001","0.0001"
"99","0.0001","0.0001","0.0001"
"100","0.0001","0.0001","0.0001"
"101","0.0001","0.0001","0.0001"
"102","0.0001","0.0001","0.0001"
"104","0.0001","0.0001","0.0001"
"105","0.0001","0.0001","0.0001"
"106","0.0001","0.0001","0.0001"
"107","0.0001","0.0001","0.0001"
"108","0.0001","0.0001","0.0001"
"109","0.0001","0.0001","0.0001"
"110","0.0001","0.0001","0.0001"
"111","0.0001","0.0001","0.0001"
"112","0.0001","0.0001","0.0001"
"113","0.0001","0.0001","0.0001"
"114","0.0001","0.0001","0.0001"
"115","0.0001","0.0001","0.0001"
"116","0.0001","0.0001","0.0001"
"117","0.0001","0.0001","0.0001"
"118","0.0001","0.0001","0.0001"
"119","0.0001","0.0001","0.0001"
"120","0.0001","0.0001","0.0001"
"121","0.0001","0.0001","0.0001"
"122","0.0001","0.0001","0.0001"
"123","0.0001","0.0001","0.0001"
"124","0.0001","0.0001","0.0001"
"125","0.0001","0.0001","0.0001"
"126","0.0001","0.0001","0.0001"
"127","0.0001","0.0001","0.0001"
"128","0.0001","0.0001","0.0001"
"130","0.0001","0.0001","0.0001"
"131","0.0001","0.0001","0.0001"
"132","0.0001","0.0001","0.0001"
"133","0.0001","0.0001","0.0001"
"134","0.0001","0.0001","0.0001"
"135","0.0001","0.0001","0.0001"
"136","0.0001","0.0001","0.0001"
"137","0.0001","0.0001","0.0001"
"138","0.0001","0.0001","0.0001"
"139","0.0001","0.0001","0.0001"
"140","0.0001","0.0001","0.0001"
"141","0.0001","0.0001","0.0001"
"142","0.0001","0.0001","0.0001"
"143","0.0001","0.0001","0.0001"
"144","0.0001","0.0001","0.0001"
"145","0.0001","0.0001","0.0001"
"146","0.0001","0.0001","0.0001"
"147","0.0001","0.0001","0.0001"
"148","0.0001","0.0001","0.0001"
"149","0.0001","0.0001","0.0001"
"150","0.0001","0.0001","0.0001"
"151","0.0001","0.0001","0.0001"
"152","0.0001","0.0001","0.0001"
"153","0.0001","0.0001","0.0001"
"154","0.0001","0.0001","0.0001"
"156","0.0001","0.0001","0.0001"
"157","0.0001","0.0001","0.0001"
"158","0.0001","0.0001","0.0001"
"159","0.0001","0.0001","0.0001"
"160","0.0001","0.0001","0.0001"
"161","0.0001","0.0001","0.0001"
"162","0.0001","0.0001","0.0001"
"163","0.0001","0.0001","0.0001"
"164","0.0001","0.0001","0.0001"
"165","0.0001","0.0001","0.0001"
"166","0.0001","0.0001","0.0001"
"167","0.0001","0.0001","0.0001"
"168","0.0001","0.0001","0.0001"
"169","0.0001","0.0001","0.0001"
"170","0.0001","0.0001","0.0001"
"171","0.0001","0.0001","0.0001"
"172","0.0001","0.0001","0.0001"
"173","0.0001","0.0001","0.0001"
"174","0.0001","0.0001","0.0001"
"175","0.0001","0.0001","0.0001"
"176","0.0001","0.0001","0.0001"
"177","0.0001","0.0001","0.0001"
"178","0.0001","0.0001","0.0001"
"179","0.0001","0.0001","0.0001"
"180","0.0001","0.0001","0.0001"
"182","0.0001","0.0001","0.0001"
"183","0.0001","0.0001","0.0001"
"184","0.0001","0.0001","0.0001"
"185","0.0001","0.0001","0.0001"
"186","0.0001","0.0001","0.0001"
"187","0.0001","0.0001","0.0001"
"188","0.0001","0.0001","0.0001"
"189","0.0001","0.0001","0.0001"
"190","0.0001","0.0001","0.0001"
"191","0.0001","0.0001","0.0001"
"192","0.0001","0.0001","0.0001"
"193","0.0001","0.0001","0.0001"
"194","0.0001","0.0001","0.0001"
"195","0.0001","0.0001","0.0001"
"196","0.0001","0.0001","0.0001"
"197","0.0001","0.0001","0.0001"
"198","0.0001","0.0001","0.0001"
"199","0.0001","0.0001","0.0001"
"200","0.0001","0.0001","0.0001"
"201","0.0001","0.0001","0.0001"
"202","0.0001","0.0001","0.0001"
"203","0.0001","0.0001","0.0001"
"204","0.0001","0.0001","0.0001"
"205","0.0001","0.0001","0.0001"
"206","0.0001","0.0001","0.0001"
"208","0.0001","0.0001","0.0001"
"209","0.0001","0.0001","0.0001"
"210","0.0001","0.0001","0.0001"
"211","0.0001","0.0001","0.0001"
"212","0.0001","0.0001","0.0001"
"213","0.0001","0.0001","0.0001"
"214","0.0001","0.0001","0.0001"
"215","0.0001","0.0001","0.0001"
"216","0.0001","0.0001","0.0001"
"217","0.0001","0.0001","0.0001"
"218","0.0001","0.0001","0.0001"
"219","0.0001","0.0001","0.0001"
"220","0.0001","0.0001","0.0001"
"221","0.0001","0.0001","0.0001"
"222","0.0001","0.0001","0.0001"
"223","0.0001","0.0001","0.0001"
"224","0.0001","0.0001","0.0001"
"225","0.0001","0.0001","0.0001"
"226","0.0001","0.0001","0.0001"
"227","0.0001","0.0001","0.0001"
"228","0.0001","0.0001","0.0001"
"229","0.0001","0.0001","0.0001"
"230","0.0001","0.0001","0.0001"
"231","0.0001","0.0001","0.0001"
"232","0.0001","0.0001","0.0001"
